Reporting unit,Reporting unit type,State,Peer group,Year,Triage category,Number of presentations,,Percentage of patients seen on time
Ballarat Health Services [Base Hospital],Hospital,Vic,Large regional hospitals,2021–22,Urgent,"23,043",,32%
Ballarat Health Services [Base Hospital],Hospital,Vic,Large regional hospitals,2022–23,Urgent,"22,178",,33%
Ballarat Health Services [Base Hospital],Hospital,Vic,Large regional hospitals,2023–24,Urgent,"22,117",,39%
Barwon Health,Local Hospital Network,Vic,,2018–19,Emergency,"12,798",,68%
Barwon Health,Local Hospital Network,Vic,,2019–20,Emergency,"11,855",,63%
Barwon Health,Local Hospital Network,Vic,,2020–21,Emergency,"11,720",,67%
Barwon Health,Local Hospital Network,Vic,,2021–22,Emergency,"11,941",,62%
Barwon Health,Local Hospital Network,Vic,,2022–23,Emergency,"13,606",,60%
Barwon Health,Local Hospital Network,Vic,,2023–24,Emergency,"15,155",,65%
Barwon Health,Local Hospital Network,Vic,,2018–19,Non-Urgent,"4,880",,85%
Barwon Health,Local Hospital Network,Vic,,2019–20,Non-Urgent,"3,819",,86%
Barwon Health,Local Hospital Network,Vic,,2020–21,Non-Urgent,"3,697",,88%
Barwon Health,Local Hospital Network,Vic,,2021–22,Non-Urgent,"3,365",,83%
Barwon Health,Local Hospital Network,Vic,,2022–23,Non-Urgent,"2,694",,76%
Barwon Health,Local Hospital Network,Vic,,2023–24,Non-Urgent,"2,447",,77%
Barwon Health,Local Hospital Network,Vic,,2018–19,Resuscitation,684,,100%
Barwon Health,Local Hospital Network,Vic,,2019–20,Resuscitation,701,,100%
Barwon Health,Local Hospital Network,Vic,,2020–21,Resuscitation,702,,100%
Barwon Health,Local Hospital Network,Vic,,2021–22,Resuscitation,688,,100%
Barwon Health,Local Hospital Network,Vic,,2022–23,Resuscitation,922,,100%
Barwon Health,Local Hospital Network,Vic,,2023–24,Resuscitation,"1,039",,100%
Barwon Health,Local Hospital Network,Vic,,2018–19,Semi-Urgent,"24,641",,56%
Barwon Health,Local Hospital Network,Vic,,2019–20,Semi-Urgent,"23,193",,60%
Barwon Health,Local Hospital Network,Vic,,2020–21,Semi-Urgent,"23,469",,64%
Barwon Health,Local Hospital Network,Vic,,2021–22,Semi-Urgent,"22,645",,51%
Barwon Health,Local Hospital Network,Vic,,2022–23,Semi-Urgent,"19,986",,46%
Barwon Health,Local Hospital Network,Vic,,2023–24,Semi-Urgent,"17,863",,49%
Barwon Health,Local Hospital Network,Vic,,2018–19,Urgent,"29,883",,46%
Barwon Health,Local Hospital Network,Vic,,2019–20,Urgent,"28,828",,52%
Barwon Health,Local Hospital Network,Vic,,2020–21,Urgent,"29,677",,56%
Barwon Health,Local Hospital Network,Vic,,2021–22,Urgent,"29,804",,43%
Barwon Health,Local Hospital Network,Vic,,2022–23,Urgent,"30,739",,40%
Barwon Health,Local Hospital Network,Vic,,2023–24,Urgent,"31,640",,46%
Bass Coast Health,Hospital,Vic,Small hospitals,2019–20,Emergency,"1,522",,86%
Bass Coast Health,Hospital,Vic,Small hospitals,2020–21,Emergency,"2,011",,78%
Bass Coast Health,Hospital,Vic,Small hospitals,2021–22,Emergency,"3,007",,56%
Bass Coast Health,Hospital,Vic,Small hospitals,2022–23,Emergency,"2,990",,59%
Bass Coast Health,Hospital,Vic,Small hospitals,2023–24,Emergency,"3,572",,65%
Bass Coast Health,Hospital,Vic,Small hospitals,2019–20,Non-Urgent,880,,95%
Bass Coast Health,Hospital,Vic,Small hospitals,2020–21,Non-Urgent,633,,91%
Bass Coast Health,Hospital,Vic,Small hospitals,2021–22,Non-Urgent,676,,92%
Bass Coast Health,Hospital,Vic,Small hospitals,2022–23,Non-Urgent,923,,93%
Bass Coast Health,Hospital,Vic,Small hospitals,2023–24,Non-Urgent,"1,148",,96%
Bass Coast Health,Hospital,Vic,Small hospitals,2019–20,Resuscitation,28,,100%
Bass Coast Health,Hospital,Vic,Small hospitals,2020–21,Resuscitation,38,,100%
Bass Coast Health,Hospital,Vic,Small hospitals,2021–22,Resuscitation,62,,100%
Bass Coast Health,Hospital,Vic,Small hospitals,2022–23,Resuscitation,46,,100%
Bass Coast Health,Hospital,Vic,Small hospitals,2023–24,Resuscitation,71,,100%
Bass Coast Health,Hospital,Vic,Small hospitals,2019–20,Semi-Urgent,"7,344",,82%
Bass Coast Health,Hospital,Vic,Small hospitals,2020–21,Semi-Urgent,"6,932",,78%
Bass Coast Health,Hospital,Vic,Small hospitals,2021–22,Semi-Urgent,"5,419",,78%
Bass Coast Health,Hospital,Vic,Small hospitals,2022–23,Semi-Urgent,"6,769",,86%
Bass Coast Health,Hospital,Vic,Small hospitals,2023–24,Semi-Urgent,"7,564",,89%
Bass Coast Health,Hospital,Vic,Small hospitals,2019–20,Urgent,"5,647",,81%
Bass Coast Health,Hospital,Vic,Small hospitals,2020–21,Urgent,"6,425",,71%
Bass Coast Health,Hospital,Vic,Small hospitals,2021–22,Urgent,"6,919",,69%
Bass Coast Health,Hospital,Vic,Small hospitals,2022–23,Urgent,"7,140",,75%
Bass Coast Health,Hospital,Vic,Small hospitals,2023–24,Urgent,"7,256",,78%
Bass Coast Regional Health,Local Hospital Network,Vic,,2018–19,Emergency,"1,412",,83%
Bass Coast Regional Health,Local Hospital Network,Vic,,2019–20,Emergency,"1,522",,86%
Bass Coast Regional Health,Local Hospital Network,Vic,,2020–21,Emergency,"2,011",,78%
Bass Coast Regional Health,Local Hospital Network,Vic,,2021–22,Emergency,"3,007",,56%
Bass Coast Regional Health,Local Hospital Network,Vic,,2022–23,Emergency,"2,990",,59%
Bass Coast Regional Health,Local Hospital Network,Vic,,2023–24,Emergency,"3,572",,65%
Bass Coast Regional Health,Local Hospital Network,Vic,,2018–19,Non-Urgent,884,,90%
Bass Coast Regional Health,Local Hospital Network,Vic,,2019–20,Non-Urgent,880,,95%
Bass Coast Regional Health,Local Hospital Network,Vic,,2020–21,Non-Urgent,633,,91%
Bass Coast Regional Health,Local Hospital Network,Vic,,2021–22,Non-Urgent,676,,92%
Bass Coast Regional Health,Local Hospital Network,Vic,,2022–23,Non-Urgent,923,,93%
Bass Coast Regional Health,Local Hospital Network,Vic,,2023–24,Non-Urgent,"1,148",,96%
Bass Coast Regional Health,Local Hospital Network,Vic,,2018–19,Resuscitation,46,,100%
Bass Coast Regional Health,Local Hospital Network,Vic,,2019–20,Resuscitation,28,,100%
Bass Coast Regional Health,Local Hospital Network,Vic,,2020–21,Resuscitation,38,,100%
Bass Coast Regional Health,Local Hospital Network,Vic,,2021–22,Resuscitation,62,,100%
Bass Coast Regional Health,Local Hospital Network,Vic,,2022–23,Resuscitation,46,,100%
Bass Coast Regional Health,Local Hospital Network,Vic,,2023–24,Resuscitation,71,,100%
Bass Coast Regional Health,Local Hospital Network,Vic,,2018–19,Semi-Urgent,"8,155",,75%
Bass Coast Regional Health,Local Hospital Network,Vic,,2019–20,Semi-Urgent,"7,344",,82%
Bass Coast Regional Health,Local Hospital Network,Vic,,2020–21,Semi-Urgent,"6,932",,78%
Bass Coast Regional Health,Local Hospital Network,Vic,,2021–22,Semi-Urgent,"5,419",,78%
Bass Coast Regional Health,Local Hospital Network,Vic,,2022–23,Semi-Urgent,"6,769",,86%
Bass Coast Regional Health,Local Hospital Network,Vic,,2023–24,Semi-Urgent,"7,564",,89%
Bass Coast Regional Health,Local Hospital Network,Vic,,2018–19,Urgent,"5,818",,77%
Bass Coast Regional Health,Local Hospital Network,Vic,,2019–20,Urgent,"5,647",,81%
Bass Coast Regional Health,Local Hospital Network,Vic,,2020–21,Urgent,"6,425",,71%
Bass Coast Regional Health,Local Hospital Network,Vic,,2021–22,Urgent,"6,919",,69%
Bass Coast Regional Health,Local Hospital Network,Vic,,2022–23,Urgent,"7,140",,75%
Bass Coast Regional Health,Local Hospital Network,Vic,,2023–24,Urgent,"7,256",,78%
Bendigo Health Care Group,Local Hospital Network,Vic,,2018–19,Emergency,"9,481",,61%
Bendigo Health Care Group,Local Hospital Network,Vic,,2019–20,Emergency,"9,868",,56%
Bendigo Health Care Group,Local Hospital Network,Vic,,2020–21,Emergency,"11,030",,53%
Bendigo Health Care Group,Local Hospital Network,Vic,,2021–22,Emergency,"12,318",,62%
Bendigo Health Care Group,Local Hospital Network,Vic,,2022–23,Emergency,"12,024",,52%
Bendigo Health Care Group,Local Hospital Network,Vic,,2023–24,Emergency,"11,980",,56%
Bendigo Health Care Group,Local Hospital Network,Vic,,2018–19,Non-Urgent,"3,687",,89%
Bendigo Health Care Group,Local Hospital Network,Vic,,2019–20,Non-Urgent,"3,600",,89%
Bendigo Health Care Group,Local Hospital Network,Vic,,2020–21,Non-Urgent,"3,259",,86%
Bendigo Health Care Group,Local Hospital Network,Vic,,2021–22,Non-Urgent,"3,572",,89%
Bendigo Health Care Group,Local Hospital Network,Vic,,2022–23,Non-Urgent,"3,743",,83%
Bendigo Health Care Group,Local Hospital Network,Vic,,2023–24,Non-Urgent,"3,903",,88%
Bendigo Health Care Group,Local Hospital Network,Vic,,2018–19,Resuscitation,543,,100%
Bendigo Health Care Group,Local Hospital Network,Vic,,2019–20,Resuscitation,551,,100%
Bendigo Health Care Group,Local Hospital Network,Vic,,2020–21,Resuscitation,634,,100%
Bendigo Health Care Group,Local Hospital Network,Vic,,2021–22,Resuscitation,639,,100%
Bendigo Health Care Group,Local Hospital Network,Vic,,2022–23,Resuscitation,850,,100%
Bendigo Health Care Group,Local Hospital Network,Vic,,2023–24,Resuscitation,968,,100%
Bendigo Health Care Group,Local Hospital Network,Vic,,2018–19,Semi-Urgent,"19,590",,70%
Bendigo Health Care Group,Local Hospital Network,Vic,,2019–20,Semi-Urgent,"19,382",,74%
Bendigo Health Care Group,Local Hospital Network,Vic,,2020–21,Semi-Urgent,"19,000",,70%
Bendigo Health Care Group,Local Hospital Network,Vic,,2021–22,Semi-Urgent,"19,276",,72%
Bendigo Health Care Group,Local Hospital Network,Vic,,2022–23,Semi-Urgent,"17,769",,63%
Bendigo Health Care Group,Local Hospital Network,Vic,,2023–24,Semi-Urgent,"16,844",,68%
Bendigo Health Care Group,Local Hospital Network,Vic,,2018–19,Urgent,"20,127",,60%
Bendigo Health Care Group,Local Hospital Network,Vic,,2019–20,Urgent,"20,983",,63%
Bendigo Health Care Group,Local Hospital Network,Vic,,2020–21,Urgent,"24,371",,61%
Bendigo Health Care Group,Local Hospital Network,Vic,,2021–22,Urgent,"23,499",,64%
Bendigo Health Care Group,Local Hospital Network,Vic,,2022–23,Urgent,"23,332",,52%
Bendigo Health Care Group,Local Hospital Network,Vic,,2023–24,Urgent,"22,228",,57%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2011–12,Emergency,"7,160",,86%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2012–13,Emergency,"7,749",,85%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2013–14,Emergency,"7,972",,86%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2014–15,Emergency,"8,163",,79%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2015–16,Emergency,"8,257",,71%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2016–17,Emergency,"9,582",,79%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2017–18,Emergency,"10,736",,68%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2018–19,Emergency,"10,816",,87%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2019–20,Emergency,"10,360",,84%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2020–21,Emergency,"11,116",,75%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2021–22,Emergency,"11,978",,75%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2022–23,Emergency,"12,138",,75%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2023–24,Emergency,"13,596",,71%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2011–12,Non-Urgent,"1,703",,87%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2012–13,Non-Urgent,"1,533",,86%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2013–14,Non-Urgent,"1,773",,87%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2014–15,Non-Urgent,"2,410",,90%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2015–16,Non-Urgent,"2,658",,91%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2016–17,Non-Urgent,"3,010",,93%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2017–18,Non-Urgent,"2,127",,88%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2018–19,Non-Urgent,"2,027",,90%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2019–20,Non-Urgent,"3,290",,92%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2020–21,Non-Urgent,"2,195",,89%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2021–22,Non-Urgent,"2,805",,90%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2022–23,Non-Urgent,"3,030",,89%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2023–24,Non-Urgent,"2,787",,87%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2011–12,Resuscitation,309,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2012–13,Resuscitation,301,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2013–14,Resuscitation,299,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2014–15,Resuscitation,364,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2015–16,Resuscitation,409,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2016–17,Resuscitation,397,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2017–18,Resuscitation,399,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2018–19,Resuscitation,463,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2019–20,Resuscitation,457,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2020–21,Resuscitation,415,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2021–22,Resuscitation,467,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2022–23,Resuscitation,471,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2023–24,Resuscitation,739,,100%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2011–12,Semi-Urgent,"14,211",,64%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2012–13,Semi-Urgent,"14,199",,66%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2013–14,Semi-Urgent,"14,499",,71%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2014–15,Semi-Urgent,"16,811",,73%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2015–16,Semi-Urgent,"20,151",,76%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2016–17,Semi-Urgent,"22,641",,84%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2017–18,Semi-Urgent,"21,919",,75%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2018–19,Semi-Urgent,"23,108",,86%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2019–20,Semi-Urgent,"21,183",,85%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2020–21,Semi-Urgent,"19,235",,80%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2021–22,Semi-Urgent,"18,658",,82%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2022–23,Semi-Urgent,"18,020",,81%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2023–24,Semi-Urgent,"18,630",,80%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2011–12,Urgent,"20,436",,61%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2012–13,Urgent,"20,808",,61%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2013–14,Urgent,"21,448",,67%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2014–15,Urgent,"24,496",,66%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2015–16,Urgent,"25,977",,66%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2016–17,Urgent,"28,633",,75%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2017–18,Urgent,"31,454",,68%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2018–19,Urgent,"32,925",,86%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2019–20,Urgent,"31,514",,83%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2020–21,Urgent,"29,141",,77%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2021–22,Urgent,"28,019",,79%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2022–23,Urgent,"26,248",,78%
Box Hill Hospital,Hospital,Vic,Large metropolitan hospitals,2023–24,Urgent,"25,938",,76%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2011–12,Emergency,"3,819",,94%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2012–13,Emergency,"4,340",,94%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2013–14,Emergency,"5,598",,87%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2014–15,Emergency,"6,191",,89%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2015–16,Emergency,"7,669",,80%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2016–17,Emergency,"9,209",,78%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2017–18,Emergency,"9,627",,75%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2018–19,Emergency,"11,407",,62%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2019–20,Emergency,"11,721",,37%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2020–21,Emergency,"12,070",,34%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2021–22,Emergency,"13,368",,23%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2022–23,Emergency,"14,871",,42%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2023–24,Emergency,"15,195",,55%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2011–12,Non-Urgent,"4,480",,90%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2012–13,Non-Urgent,"4,029",,89%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2013–14,Non-Urgent,"4,144",,91%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2014–15,Non-Urgent,"3,512",,93%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2015–16,Non-Urgent,"3,044",,93%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2016–17,Non-Urgent,"3,416",,91%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2017–18,Non-Urgent,"3,011",,85%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2018–19,Non-Urgent,"2,646",,83%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2019–20,Non-Urgent,"1,988",,83%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2020–21,Non-Urgent,"2,071",,89%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2021–22,Non-Urgent,"1,955",,88%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2022–23,Non-Urgent,"2,140",,93%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2023–24,Non-Urgent,"2,887",,98%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2011–12,Resuscitation,61,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2012–13,Resuscitation,97,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2013–14,Resuscitation,109,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2014–15,Resuscitation,110,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2015–16,Resuscitation,115,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2016–17,Resuscitation,109,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2017–18,Resuscitation,99,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2018–19,Resuscitation,115,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2019–20,Resuscitation,142,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2020–21,Resuscitation,216,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2021–22,Resuscitation,243,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2022–23,Resuscitation,380,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2023–24,Resuscitation,403,,100%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2011–12,Semi-Urgent,"23,608",,68%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2012–13,Semi-Urgent,"23,128",,66%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2013–14,Semi-Urgent,"21,803",,72%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2014–15,Semi-Urgent,"23,029",,77%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2015–16,Semi-Urgent,"24,714",,75%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2016–17,Semi-Urgent,"22,971",,68%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2017–18,Semi-Urgent,"21,547",,63%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2018–19,Semi-Urgent,"19,584",,60%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2019–20,Semi-Urgent,"16,556",,58%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2020–21,Semi-Urgent,"19,671",,66%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2021–22,Semi-Urgent,"18,381",,60%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2022–23,Semi-Urgent,"17,206",,82%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2023–24,Semi-Urgent,"19,754",,95%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2011–12,Urgent,"13,535",,75%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2012–13,Urgent,"14,643",,69%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2013–14,Urgent,"17,926",,67%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2014–15,Urgent,"21,860",,72%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2015–16,Urgent,"24,993",,66%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2016–17,Urgent,"25,195",,61%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2017–18,Urgent,"27,316",,59%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2018–19,Urgent,"29,143",,51%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2019–20,Urgent,"28,325",,44%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2020–21,Urgent,"32,452",,45%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2021–22,Urgent,"33,015",,39%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2022–23,Urgent,"34,218",,73%
Casey Hospital,Hospital,Vic,Medium metropolitan hospitals,2023–24,Urgent,"36,185",,90%
Central Gippsland Health Service,Local Hospital Network,Vic,,2018–19,Emergency,"1,509",,79%
Central Gippsland Health Service,Local Hospital Network,Vic,,2019–20,Emergency,"1,362",,82%
Central Gippsland Health Service,Local Hospital Network,Vic,,2020–21,Emergency,"1,145",,79%
Central Gippsland Health Service,Local Hospital Network,Vic,,2021–22,Emergency,"1,263",,66%
Central Gippsland Health Service,Local Hospital Network,Vic,,2022–23,Emergency,"1,539",,58%
Central Gippsland Health Service,Local Hospital Network,Vic,,2023–24,Emergency,"2,020",,52%
Central Gippsland Health Service,Local Hospital Network,Vic,,2018–19,Non-Urgent,"1,612",,90%
Central Gippsland Health Service,Local Hospital Network,Vic,,2019–20,Non-Urgent,"1,784",,91%
Central Gippsland Health Service,Local Hospital Network,Vic,,2020–21,Non-Urgent,"2,645",,92%
Central Gippsland Health Service,Local Hospital Network,Vic,,2021–22,Non-Urgent,"1,286",,90%
Central Gippsland Health Service,Local Hospital Network,Vic,,2022–23,Non-Urgent,"1,464",,92%
Central Gippsland Health Service,Local Hospital Network,Vic,,2023–24,Non-Urgent,"1,707",,91%
Central Gippsland Health Service,Local Hospital Network,Vic,,2018–19,Resuscitation,24,,100%
Central Gippsland Health Service,Local Hospital Network,Vic,,2019–20,Resuscitation,22,,100%
Central Gippsland Health Service,Local Hospital Network,Vic,,2020–21,Resuscitation,19,,100%
Central Gippsland Health Service,Local Hospital Network,Vic,,2021–22,Resuscitation,26,,100%
Central Gippsland Health Service,Local Hospital Network,Vic,,2022–23,Resuscitation,21,,100%
Central Gippsland Health Service,Local Hospital Network,Vic,,2023–24,Resuscitation,31,,100%
Central Gippsland Health Service,Local Hospital Network,Vic,,2018–19,Semi-Urgent,"8,417",,73%
Central Gippsland Health Service,Local Hospital Network,Vic,,2019–20,Semi-Urgent,"8,102",,74%
Central Gippsland Health Service,Local Hospital Network,Vic,,2020–21,Semi-Urgent,"8,709",,73%
Central Gippsland Health Service,Local Hospital Network,Vic,,2021–22,Semi-Urgent,"8,389",,75%
Central Gippsland Health Service,Local Hospital Network,Vic,,2022–23,Semi-Urgent,"8,318",,78%
Central Gippsland Health Service,Local Hospital Network,Vic,,2023–24,Semi-Urgent,"7,434",,73%
Central Gippsland Health Service,Local Hospital Network,Vic,,2018–19,Urgent,"4,552",,77%
Central Gippsland Health Service,Local Hospital Network,Vic,,2019–20,Urgent,"4,402",,77%
Central Gippsland Health Service,Local Hospital Network,Vic,,2020–21,Urgent,"4,255",,76%
Central Gippsland Health Service,Local Hospital Network,Vic,,2021–22,Urgent,"4,482",,72%
Central Gippsland Health Service,Local Hospital Network,Vic,,2022–23,Urgent,"4,910",,68%
Central Gippsland Health Service,Local Hospital Network,Vic,,2023–24,Urgent,"5,053",,69%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2011–12,Emergency,865,,93%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2012–13,Emergency,"1,208",,94%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2013–14,Emergency,"1,602",,93%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2014–15,Emergency,"1,721",,92%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2015–16,Emergency,"1,874",,85%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2016–17,Emergency,"1,469",,79%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2017–18,Emergency,"1,340",,75%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2018–19,Emergency,"1,509",,79%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2019–20,Emergency,"1,362",,82%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2020–21,Emergency,"1,145",,79%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2021–22,Emergency,"1,263",,66%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2022–23,Emergency,"1,539",,58%
Central Gippsland Health Service [Sale],Hospital,Vic,Large regional hospitals,2023–24,Emergency,"2,020",,52%
